New Dietary Ingredient Notification #,New Dietary Ingredient Report # Regulations.gov,Name of New Dietary Ingredient,Firm,Date of Submission,Date of FDA's   Response  
626,N/A,"Derived from an ethanol extract of Triticum vulgareVill. (Wheat) gluten lipids that provides the user with a plant-derived source of ceramides, glycoceramides and glycolipids (Lipowheat Oil™)",Hitex SAS,12/29/2009,3/11/2010
629,N/A,Fulvic acid derived from fresh vegetation (Chelate Balance Fulvic Dietary Supplement),Miyamonte U.S.A. Inc.,1/12/2010,3/16/2010
630,N/A,Mulberry leaf powder derived from the leaf of Morus alba L. (mulberry leaf supplement),Ray Farm Corporation,1/13/2010,3/29/2010
631,N/A,Nattolife-Nattokinase Enzyme,Zytex Biotech PVT LTD,1/15/2010,3/17/2010
632,N/A,"a mixture of an [astaxanthin-rich] oil extract from the algae Haematococcus pluvialis and palm oil (Puresta Oil 50, Puresta Oil 80, Puresta Oil 100, Puresta Oil 100F, Puresta P-20Y, Puresta B-30, and Puresta W-20","Yamaha Motor Co., Ltd.",1/20/2010,3/3/2010
634,N/A,Horse Bone Extract: (Chu Viet Horse Bone Extract Dietary Supplement),Branch Corporation Finance-Investment-Construction,2/1/2010,4/9/2010
635,N/A,Geranti Bio-Ge Yeast derived from germanium (Ge) bound to Saccharomyces cerevisiae strain KCTC 7904,Geranti Pharm LTD,2/3/2010,4/19/2010
636,N/A,"6(R,S)-5-Methyltetrahydrofolate calcium salt (EXTRAfolate™)",Gnosis S.p.A.,2/4/2010,4/19/2010
637,N/A,6(S)-5-Methyltetrahydrofolate calcium salt (EXTRAfolate-S™),Gnosis S.p.A.,2/4/2010,4/19/2010
638,N/A,Marine aminos of pink murex (Phyllonotus erythrostomus) ,Gold Leaf Sustainable,2/17/2010,5/3/2010
639,N/A,LumiVida™ (a lysozyme hydrolysate preparation from egg albumin as a source of L-tryptophan),"DSM Nutritional Products, Inc.",2/22/2010,5/6/2010
640,N/A,2-amino-4(3H)-pteridinone (Pterin),"SanRx Pharmaceuticals, Inc.",2/22/2010,5/6/2010
641,N/A,Sea buckthorn extract  (derived from the leaf and berry (fruit) of Hippophae rhamnoides L. (GLOW™),Happy Planet Foods,2/22/2010,5/6/2010
642,N/A,"AvoCetyl™ (a mixture of avocado and soy phytosterols [avocado/soy
unsaponifiables (ASU)], soy protein isolate, mixed tocopherols, and silicon dioxide)",Cyvex Nutrition,2/25/2010,9/20/2010
643,N/A,Phytosterols from avocado/soy unsaponifiables (ASU) derived from the fruit of the avocado (Persea gratissimaL.) and the oil from soy cotyledon (Glycine max L.) (AvoVida™),Cyvex Nutrition,2/25/2010,5/13/2010
645,N/A,"Tarragon extract (derive d from the leaves, stems, shoots and flowers of Artemisia dracunculus L.)",Schiff & Company,3/24/2010,6/4/2010
646,N/A,"Aureobasidium Cultured Solution (Solution containing β-glucan consisting mainly of β-1,3/1,6-glucan, obtained by culturing Aureobasidium pullulans) (AUREO β Glucan)","Aureo Co., Ltd.",3/29/2010,6/18/2010
648,N/A,"Proselem (a combination of selenium-rich Arthrospira platensis strain PCC8005, vitamin E, and Superoxide Dismutase microgranules)","VitaBioTech, LLC",4/7/2010,6/18/2010
649,N/A,"Pine tree phytosterols, including Arboris® sterols AS-2® and Arboris sterol esters derived from tall oil pitch, mainly from the pine species Pinus elliottii Engelm and Pinus taeda L. (Arboris® Sterol AS-2®)",Arboris LLC,4/14/2010,6/24/2010
650,N/A,Conjugated linoleic acid (CLA) derived from the oil of Carthamus tinctorius L. (Clarinol™),Iovate Health Sciences Research Inc,4/13/2010,6/24/2010
651,N/A,"Milkweed Seed Oil (MSO) derived from the pod seeds of milkweed plants (Asclepias Syriaca L., common milkweed, and Asclepias Speciosa Torr., showy milkweed)",Natural Fibers Corporation,4/21/2010,7/2/2010
652,N/A,"Maqui Berry Organic Powder derived from whole berry with pulp, skin and seed of Aristotelia chilensis (Molina) Stuntz. and Acai Beny Organic Powder derived from whole fruit with pulp, skin and seed of Euterpe oleracea Mart (Milagro™ capsules)","Beverage Solutions & Bottling Company, Inc",4/21/2010,7/7/2010
653,N/A,"Maqui Berry Organic Powder derived from whole berry with pulp, skin and seed of Aristotelia chilensis (Molina) Stuntz, Acai Berry Organic Powder derived from whole fruit with pulp, skin and seed of Euterpe oleracea Mart, and Trans-Resveratrol 98% derived from the root of Polygonum cuspidatum Sieb Siebold (Milagro capsules with Resveratrol)","Beverage Solutions & Bottling Company, Inc",4/21/2010,7/2/2010
654,N/A,"a mixture of nucleotides [CMP, UMP, AMP and GMP] (IMMUNACTIVE™)","Bioiberica, S.A.",5/3/2010,7/16/2010
655,N/A,Marine Phytoplankton derived from marine micro algae Nannochloropsis spp. (Phyto4Life),International Connect Assoc. Inc.,5/4/2010,5/11/2010
656,N/A,Benfotiamine (S-benzoylthiamine O-monophosphate) (BenfoPure),"Hamari Chemicals, Ltd.",5/6/2010,5/13/2010
658,N/A,Calcium formate,"Nephro-Tech 1, LLC",5/11/2010,9/15/2010
659,N/A,"a powder which is a mixture of polyphenolics extracted directly from immature apples (i.e., family Rosaceae, genus Malus) of the species Malus pumila Mill, Malus pumila var. domestica (Borkh.) C.K. Schneid, or Malus asiatica Nakai (Missouri Botanical Garden 2010) (Applephenon®)","Asahi Breweries, Ltd.",5/14/2010,7/28/2010
660,N/A,Podium Gold™ (β-Creatine) (Podium Gold™ Powder Drink and Podium Gold™ Tablets),CSA Nutrition,5/24/2010,8/6/2010
662,N/A,"Herbal Dietary Supplement Tonic derived by combining Acacia Honey
65%, (Cynomorium coceineum) [sic] extract 20%[,] Date palm pollen [Phoenix daclylifera L.] 10% [and] Garden Cress [Lepidium sativum L.] 5% ",Abba Herbal Preparations,7/6/2010,8/11/2010
663,N/A,Herbal dietary supplement syrup (derived by combining Acacia Honey 80% - Camel Grass (Cymbopogon Schenanthus [Cymbopogon schenanthus L.]) leaves - 15%  [and] Garden Cress (Lepidium sativum) [Lepidium sativum L.]) leaves - 5%,Abba Herbal Preparations,7/6/2010,8/11/2010
666,N/A,Omega-3 Marine Phytoplankton-Nannochloropsis Sp. derived from an unspecified species of the genus Nannochloropsis (Phyto4Life),International Connect Assoc. Inc.,7/22/2010,10/4/2010
667,N/A,ALA phosphate produced by fermentation using Rhodobacter sphaeroides (CR-720) (ALA Plus (Aminolevulinic Acid Plus)),"SBI ALApromo Company LTD (""SBI"")",8/2/2010,12/21/2010
668,N/A,"EstroG-100™ derived from roots of Angelica gigas Nakai, Phlomis umbrosa Turczaninow, and Cynachum wilfordii Hemsl",Sunbio Corporation,8/9/2010,10/21/2010
669,N/A,N-Acetylcysteine (NAC) ethyl ester,Tiara Pharmaceuticals,8/9/2010,10/21/2010
670,N/A,"Milkweed Seed Oil or MSO derived from the pod seeds of milkweed plants  Asclepias syriaca L., common milkweed, and Asclepias speciosa Torr., showy milkweed",Natural Fibers Corporation,8/9/2010,10/21/2010
671,N/A,7-Methylxanthine (Kinder Eye),AVEC Eye Center LLC,9/13/2010,11/26/2010
672,N/A,S-allyl-L-cysteine (SAC) derived from garlic (Allium salivum),Daniel Rubin,9/14/2010,10/21/2010
673,N/A,"6(S)-5-Methyltetrahydrofolate Acid, Glucosamine salt (Quatrefolic™)",Gnosis S.p.A.,9/20/2010,12/3/2010
674,N/A,Extract of Scotch Pine (Pinus sylvestris L.) and Norwegian Spruce (Picea abies (L) Karst) needles (Conifer Green Needle Complex (CGNC)),Solagran Limited,9/17/2010,12/1/2010
675,N/A,Agaricus blazei Murrill [ABM] (Sun Chlorella Agaricus),Sun Chlorella USA ,9/15/2010,2/14/2011
676,N/A,"Creatyl-L-Glutamine (Anarchy Strawberry Lemonade, Anarchy Grape Bubblegum and Anarchy Exotic Fruit)",VPX/Redline,10/19/2010,12/21/2010
677,N/A,Amizate derived from Atlantic salmon (Salmo salar),Zymetch Production AS,11/8/2010,1/21/2011
678,N/A,"2-(1',2',3',4-'tetrahydroxybutyl)thiazolidine-4-carboxylic acid (D-Ribose-L-Cysteine) (RiboCeine)","Max International, LLC",11/5/2010,1/13/2011
679,N/A,DHA and EPA Algal Oil derived from fermentation of the microalgae Schizochytrium sp.,Martek Biosciences Corp.,11/17/2010,1/28/2011
680,N/A,Miliaskin derived from the seed of Panicum miliaceum L. (MILIASKIN™),Hitex SAS ,12/8/2010,2/18/2011
681,N/A,Benfotiamine (S-benzoylthiamine O-monophosphate) (BenfoPure),"Hamari Chemicals, Ltd.",12/10/2010,2/22/2011
683,N/A,a concentrated herbal extract (containing >95% cycloastragenol) of Astragalus membranaceus derived from the root of Astragalus membranaceus Fisch (TA-65®),Telomerase Activation Sciences ,12/28/2010,3/11/2011
684,N/A,"Winter Salad Powder (TD No. 57-2009), derived from powders of artichoke (Cynara scolymusis), broccoli (Brassica oleracea Botrytis cymosa) & spinach (Spinacia oleracea)","Akroteri Foods, LLC",12/29/2010,2/24/2011
685,N/A,"Summer Salad Powder (TD No. 61-2009), derived from tomato (Solanum lyeopersieum); carrot (Daucus carota); Onion (Allium Cepa); and oregano (origanum vulgare)","Akroteri Foods, LLC",12/29/2010,2/24/2011
686,N/A,"Lentinus mushroom powder (TD No. 58-2009), derived from the fruiting body of the mushroom Lentinus edodes, also known as Shiitake in Japanese","Akroteri Foods, LLC",12/29/2010,2/24/2011
687,N/A,"Hippophae Powder (TD No. 59-2009), a powder extract derived from the seeds of Sea buckthorn (Hippophae rhamnoeides L.)","Akroteri Foods, LLC",12/29/2010,2/24/2011
688,N/A,"Hippophae (Sea Buckthorn Seed Oil TD 75-09), derived from the seeds of Sea Buckthorn (Hippophae rhamnoeides L.)","Akroteri Foods, LLC",12/29/2010,2/24/2011
689,N/A,Dried fermentate made with cultures of Saccharomyces cerevisiae Hansen,"Embria Health Sciences, LLC",1/3/2011,3/17/2011
690,N/A,"Herbal Dietary Supplement Tonic derived by combining Acacia Honey ... (Cynomorium coccineum) [sic] extract ... Date palm pollen [Phoenix dactylifera L.] ... [and] Garden Cress [Lepidium sativum L.] ... "" and Herbal Dietary Supplement Syrup"" is derived by combining Acacia Honey ... Camel Grass (Cymbopogon Schenanthus [Cymbopogon schenanthus L.]) leaves ... [and] Garden Cress (Lepidium sativum) [Lepidium sativum L.]) leaves",Abba Herbal Preparations,11/9/2010,1/24/2011
691,N/A,"Antrodia camphorata powder derived from Antrodia camphorata (M. Zhang & C.H. Su) Sheng H. Wu, Ryvarden & T.T. Chang (Antrodia camphorata capsules)",Motech Corporation,1/19/2011,3/22/2011
692,N/A,"Milkweed Seed Oil"" or ""MSO"" derived from the pod seeds of milkweed plants that you call Asclepias syriaca L., common milkweed, and Asclepias speciosa Torr., showy milkweed",Natural Fibers Corporation,1/20/2011,4/5/2011
693,N/A,an oil derived from jasmine flowers (Jasminum tortuosum Willd.) (Jasmone),Broady Health Sciences,1/20/2011,4/5/2011
694,N/A,Magnolia Cortex Extract Powder derived from Magnolia Officnalis [sic] L. (Honokiol),"Naturopathic Pharmacy, Inc.",1/24/2011,4/9/2011
695,N/A,Calanus oil or Calanus finmarchicusoil (Arctic Ruby® Oil Softgel Capsules),Calanus AS,1/24/2011,4/9/2011
696,N/A,Creatine Nitrate,ThermoLife International LLC,2/3/2011,4/19/2011
697,N/A,Corbicula fluminea powder (NutraRite™ Essence of Golden Clam),Motech Corporation,2/4/2011,4/20/2011
698,N/A,Ampelopsis grossedentata (Hand.-Mazz.) W.T. Wang. (EZ-Dream® Capsules),BF Suma Pharmaceuticals Inc.,2/10/2011,4/21/2011
699,N/A,Human placenta extract (Placentake),Healthkord (USA) Inc.,2/18/2011,4/6/2011
700,N/A,"Krill oil; source: Antartic Krill (Euphausia superba), a shrimp-like marine crustacean under trade name ""Superba® Krill oil""",Aker Biomarine Antartic AS,3/3/2011,5/16/2011
701,N/A,Applephenon® = mixture of polyphenolics extracted directly from apple,"Asahi Breweries, Ltd.",3/11/2011,5/18/2011
702,N/A,"Calcium Phosphate: Omega-3 Co-Salt; mixture of calcium, DHA and EPA","Jost Chemical, Co",3/21/2011,6/3/2011
703,N/A,"Hippophae Powder powder extract, derived from seeds of Sea Buckthorn (Hippophae rhamnoides L.)","Akroteri Foods, LLC",3/22/2011,6/3/2011
704,N/A,"Hippophae rhamnoides L. (Sea Buckthorn) oil extract, dervied from the seeds of the Sea Buckthorn plant  ","Akroteri Foods, LLC",3/22/2011,6/3/2011
705,N/A,Zembrin® ,HGH Pharmaceuticals (PTY) Ltd.,4/20/2011,7/1/2011
706,N/A,Huperzine A,CogniFem LLC,4/21/2011,7/5/2011
708,N/A,Calcium Magnesium Citrate,"Jost Chemical, Co",5/5/2011,7/18/2011
709,N/A,TG Amano DS Transglucosidase,Amano Enzyme USA Co. LTD,5/17/2011,7/29/2011
710,N/A,Camel Grass (Cymbopogon schenanthus L.) ,Abba Herbal Preparations,6/7/2011,8/19/2011
711,N/A,Cynomorium coccineum L.,Abba Herbal Preparations,6/7/2011,8/19/2011
712,N/A,"Spark: mixture of Cordyceps sinensis, Illicium verum, Menta haplocalyx, Glycyrrhiza uralensis",Luontolife Limited,6/7/2011,8/18/2011
713,N/A,"Zest: mixture of Ganoderma lucidum, Illicium verum, Menta haplocalyx, Glycyrrhiza uralensis",Luontolife Limited,6/7/2011,8/18/2011
714,N/A,EZ Dream Capsules: extract of Ampelopsis grossedentata (Hand.-Mazz.) W.T. Wang,BF Suma Pharmaceuticals Inc.,6/15/2011,8/26/2011
715,N/A,Ajuga repta+B980ns,I.R.B. lstituto di Ricerche Biotecnologiche S.p.A.,6/16/2011,8/26/2011
716,N/A,G.D. Antrodia Camphorata,Golden Biotechnology Corp.,6/21/2011,8/30/2011
717,N/A,Haematococcus pluvialis extract containing astaxanthin esters,Cyanotech Corporation,6/27/2011,9/9/2011
718,N/A,Cellathine (Methylthioadenosine) or MTA,Life Science Laboratories,7/1/2011,9/27/2011
720,N/A,Xylooligosaccharides (XOS) extracted from corn cobs of Zea mays L.,"Shangdong Longlive Bio-Technology, Co. Ltd",7/12/2011,9/21/2011
721,N/A,SESOM-CV: bark extracts of Salix babylonica (weeping willow) and Plantanus occidentalis (Sycamore tree),SESOM LLC,7/25/2011,9/9/2011
722,N/A,"Hippophae rhamnoides L. (Sea Buckthorn) oil extract, derived from the seeds of the Sea Buckthorn plant","Akroteri foods, LLC",8/2/2011,10/13/2011
724,N/A,"17a-Hydroxy-Pregnane-3,20-dione ",Proprietary Wellness,8/8/2011,10/17/2011
725,N/A,1-Androsterone,Proprietary Wellness,8/29/2011,11/9/2011
726,N/A,6-Ketoprogesterone,Proprietary Wellness,8/29/2011,11/10/2011
727,N/A,"17a-hydroxypregna-1,4-diene-3,20-dione (1,4-diene)",Proprietary Wellness,9/8/2011,11/10/2011
728,N/A,Terminalia chebula,Hikmeth Corporation,9/14/2011,11/21/2011
729,N/A,Panax quinquefolius L.,Afexa Life Sciences Inc,9/15/2011,11/22/2011
731,N/A,"3,5-diiodo-L-thyronine (T2)",Proprietary Wellness,10/5/2011,12/1/2011
732,N/A,PROVINOLS: extract from wine of Cabernet Sauvignon grapes (Vitis Vinifera L.),Seppic Inc,10/17/2011,12/26/2011
733,N/A,Escherichia coli strain Nissle 1917,"Medical Futures, Inc.",8/15/2011,10/28/2011
734,N/A,Lactobacillus plantarum L-137 (HK-LP),House Wellness Food Corp.,11/1/2011,1/12/2012
735,N/A,3-Phytase from Aspergillus niger NPH-54,"DSM Nutritional Products, Inc.",11/2/2011,1/13/2012
736,N/A,Tall oil phytosterol esters (Reducol Ester),Forbes Medi-Tech Corporation,11/9/2011,1/23/2012
737,N/A,"Dry extract of Syringa vulgaris (Lilac) titrated in verbascoside, a phenylpropanoid",I.R.B. lstituto di Ricerche Biotecnologiche S.p.A.,11/9/2011,1/23/2012
738,N/A,WinPalTM Antrodia cinnamomea  ,WinPal LLC,11/14/2011,12/7/2011
739,N/A,Dihydrocapsiate,"Ajinomoto North America, Inc",1/25/2012,2/13/2012
740,N/A,SuntavaTM Purple Corn Extract derived from purple corn (Poaceae Zea Mays L. kernels and cobs),Suntava LLC,11/21/2011,1/30/2012
741,N/A,Bacillus subtilis Strain PB6,Kemin Pharma,12/1/2011,1/30/2012
742,N/A,Astaxanthin esters from Haematococcus pluvialis algea,"Fuji Health Science, Inc.",12/7/2011,2/13/2012
743,N/A,WinPalTM Antrodia cinnamomea  ,Yung Peng Biotechnology Co. LTD,12/27/2011,2/22/2012
744,N/A,Glucuronolactone/D-Glucuronolactone,"KickAss Candy, LLC",1/5/2012,2/22/2012
745,N/A,Magnesium di-R-alpha-lipoate,"Ampac Fine Chemicals, LLC",2/27/2012,4/24/2012
746,N/A,"17a-hydroxypregna-1-ene-3,20-dione (1-OHP)",Proprietary Wellness,1/30/2012,3/8/2012
747,N/A,4-Dehydroepiandrosterone (4-DHEA),Proprietary Wellness,1/30/2012,3/8/2012
748,N/A,19 Nor-4-Dehydroepiandrosterone (DHEA),Proprietary Wellness,1/30/2012,3/8/2012
749,N/A,Enteric coated L-menthol derived from Mentha arvensis. Trade name = lB Calm ,"Zx Pharma, LLC",3/2/2012,4/24/2012
750,N/A,Pine Oil Phytosterol esters -- Botanical extract from the wood of Pinus taeda L. and Pinus elliotti Engelm converted into fatty acid esters derived from common sunflower seed oil (Helianthus annuus L.),Forbes Medi-Tech Corporation,3/19/2012,4/11/2012
751,N/A,Lactoferrin (cow's milk derived) under trade name Bioferrin 6000,Everett laboratories,3/19/2012,5/11/2012
752,N/A,"3b,17a-dihydroxypregna-1,4-diene-20-one (1,4-pregnenonlone)",Proprietary Wellness,3/27/2012,4/24/2012
753,N/A,"3b,17a-dihydroxypregna-1-en-20-one (1-pregnenolone)",Proprietary Wellness,3/27/2012,4/24/2012
754,N/A,"3b,17a-dihydroxypregn-3-one (5a-pregnenolone)",Proprietary Wellness,3/27/2012,4/24/2012
755,N/A,"Avi-Resisto, Avi-Utereno, Avi-Liv, Avi-Lo'Sugar, Avi-Regain, Avi-Slim, Avi-Pro, and Avi-Immuno",Avinash Herbals Pvt Ltd,4/6/2012,4/25/2012
756,N/A,Polyethylene Glycol 8000 (PEG8000) as adjuvant with Melatonin,"Zx Pharma, LLC",4/11/2012,5/30/2012
757,N/A,Polygala tenuifolia Willdenow root extract,"Braintropia Co., Ltd",4/12/2012,6/5/2012
758,N/A,Euterpe oleracea Mart.(common name acai),Lifestream International Ltd.,4/26/2012,7/3/2012
759,N/A,Huperzine A (Huperzia serrata extract) combined with soy isoflavones (Trade Name: Novasoy 400),CogniFem LLC,4/26/2012,6/5/2012
760,N/A,"Clinoptilolite (Purified Clinoptilolite = calcium potassium sodium magnesium aluminosilicate, hydrated)",Glock Health GmbH,5/9/2012,6/27/2012
761,N/A,Syringa vulgaris (Lilac) dry cell culture extract titrated in verbascoside and organic maltodextrins.,IRB Istuto di Ricerche Biotecnologiche SpA,5/21/2012,7/3/2012
762,N/A,Agarikon and MyKoprotect,Health from Mushrooms,5/29/2012,6/18/2012
763,N/A,Apoaequorin (Trade Name Prevagen):  Recombinant fermentation product of the jellyfish,"Quincy Bioscience Manufacturing, Inc.",6/4/2012,7/25/2012
764,N/A,Lactobacillus plantarum HK-LP 137,House Wellness Food Corp.,6/11/2012,8/6/2012
765,N/A,Curry Leaf (Murraya koenigii L.),Kavan Life and Computing Private LTD,6/11/2012,7/13/2012
766,N/A,Achachairu (Garcinia humilis),"Natural Discoveries, Inc dba CuraCaza",7/13/2012,7/25/2012
767,N/A,"PolyGlycopleX, a soluble polysaccharide complex under trade name PGX","InovoBiologic, Inc.",7/16/2012,8/29/2012
768,N/A,Cyclic Polylactate (CPL) and Polylacate (PL) under trade name Premium Lakle,"Life Trade Co., Ltd",7/23/2012,7/30/2012
769,N/A,L-Carnitine Calcium Fumarate,Liaoning Koncepnutra Co. Ltd,8/6/2012,9/26/2012
770,N/A,TA-65 (Astragalus extract) ,Telomerase Activation Sciences ,8/7/2012,9/10/2012
771,N/A,Ceramosides Powder Neutra,EPI France SARL,8/8/2012,8/21/2012
772,N/A,"Myrtol (Oil of eucalyptus, sweet orange, lemon and myrtle)",G. Pohl Boskamp GmbH & Co. KG,8/9/2012,9/26/2012
773,N/A,Sodium butyrate,Biolek Inc.,9/5/2012,11/6/2012
774,N/A,Ceramosides Powder Neutra,"EPI France SARL and Seppic, Inc.",9/17/2012,11/6/2012
775,N/A,Guanidinoacetic acid or 2-(diaminomethylideneamino) acetic acid.,AlzChem AG,10/18/2012,12/10/2012
776,N/A,Cyclic Polylactate (CPL) and Polylacate (PL) under trade name Premium Lakle,"Life Trade Co., Ltd",10/18/2012,11/27/2012
777,N/A,"Androst-3,5-diene-7,17-dione",Proprietary Wellness,10/22/2012,11/27/2012
778,N/A,Laminaria hyperborea extract (trade name: ProtaSea),FMC BioPolymer Corporation,10/23/2012,12/14/2012
779,N/A,"Tensostat (extracts of Scutellaria baicalensis, Coptis chinensis, Rheum palmatum, and Panax ginseng)",SunTen Phytotech Co. LTD,11/6/2012,12/21/2012
780,N/A,Xylooligosaccharides extracted from corn cobs of Zea mays L.,"Shangdong Longlive Bio-Technology, Co. Ltd",11/13/2012,12/14/2012
781,N/A,Moringa oleifera,F & R Health,11/27/2012,12/10/2012
782,N/A,Citrus sinensis dry leaf powder,GRZ Pharma LLC,12/5/2012,12/10/2012
783,N/A,Origanum vulgare extract (Trade name: OreVida),"DSM Nutritional Products, Inc.",12/10/2012,1/24/2013
784,N/A,Streptococcus oralis 89a and Lactobacillus rhamnosus LB21,NuBiome,12/13/2012,12/14/2012
785,N/A,Trametes Versicolor (Essence of Yun Zhi),PNP Pharmaceuticals Inc.,1/3/2013,1/23/2013
786,N/A,Inositol stabilized arginine silicate (NitrosigineTM),Nutrition21,1/10/2013,3/18/2013
787,N/A,Calcium sennosides (SennaBioticsTM),"Jiva Pharma, Inc.",2/19/2013,4/22/2013
788,N/A,Dried root radix Trichosanthes (SucanonTM),Pharmaroth Latin America S.A. DE C.V.,2/19/2013,4/11/2013
789,N/A,Proprietary Petasites hybridis leaf extract [#Ze 339] (Zarbee's Clear 360TM),Zarbee's,2/20/2013,5/3/2013
790,N/A,Premium Lakle containing Cyclic Polylactate (CPL) and Polylactate (PL),"Life Trade Co., Ltd",3/4/2013,5/7/2013
791,N/A,G.D. Antrodia Camphorata,Golden Biotechnology Corp.,3/7/2013,4/26/2013
792,N/A,"Polysaccharide Peptide (PSP), extract from Trametes Versicolor",PNP Pharmaceuticals Inc.,3/22/2013,5/9/2013
793,N/A,Myrciaria cauliflora (DC.) O. Berg,Laboratorio Catarinense S/A,4/18/2013,4/23/2013
794,N/A,"Eugenia uniflora, Linne.",Laboratorio Catarinense S/A,4/18/2013,4/23/2013
795,N/A,Sarracenia purpurea L.,Gowey Research Group,5/14/2013,5/20/2013
796,N/A,"Distillate of eucalyptus, sweet orange, lemon, and myrtle essential oils (d-ELOM)",G. Pohl Boskamp GmbH & Co. KG,5/23/2013,7/31/2013
797,N/A,3-Phytase produced from Aspergillus niger NPH-54,DSM Food Specialties USA,5/28/2013,7/22/2013
798,N/A,Bovine hemoglobin,MediTec International FairLife AB,6/12/2013,8/15/2013
799,N/A,Zinc carnosine  ,Twinlab Corporation,6/14/2013,8/20/2013
800,N/A,Incarvillea sinensis,Infinitum Health LLC,6/24/2013,7/1/2013
801,N/A,Premium Lakle containing Cyclic Polylactate (CPL) and Polylactate (PL),"Life Trade Co., Ltd",7/24/2013,9/12/2013
802,N/A,Cucumis melo L. Carl (juice of the pulp of cantaloupe melon),BioNov,8/1/2013,9/12/2013
803,N/A,"Lactobacillus acidophilus, Lactobacillus rhamnosus, & Bifidobacterium lactis live microbials",Global Suppleceutical Formulations,8/14/2013,8/20/2013
804,N/A,Euphausia superba (Krill) powder,Olympic Seafood AS,9/3/2013,10/29/2013
805,N/A,Pyrroloquinoline Quinone (PQQ),Nascent Health Sciences LLC,9/9/2013,10/29/2013
806,N/A,"Bifidobacterium lactis, Lactobacillus acidophilus, and Lactobacillus rhamnosus (7 AM Advance Probiotics)",Global Suppleceutical Formulations,10/17/2013,12/23/2013
807,N/A,Bifidobacterium lactis and Lactobacillus rhamnosus (7 AM Plus Probiotics),Global Suppleceutical Formulations,10/17/2013,12/23/2013
808,N/A,Lactobacillus acidophilus and Lactobacillus rhamnosus (Lactobacillus Duo Probiotics),Global Suppleceutical Formulations,10/17/2013,12/23/2013
809,N/A,Bifidobacterium lactis and Lactobacillus acidophilus (7 AM Assure Probiotics),Global Suppleceutical Formulations,10/17/2013,12/23/2013
810,N/A,"Spoon a Day: Aegle marmelos, Sterospermum montanum, Oroxylum indicum, Premna corymbosa, Uraria pecta, Desmodium gangeticum,
Aerva lanata, Solanum anguivi, Tribulus terrestris, Sida retusa, aempferia rotunda, Vigna pilosa, Vigna radiata, Piper longum, Pistacia integerimma, Phyllanthus niruri, Elettaria cardamom, Holostemma ada-kodien, Boerhaavia d~ffusa, Vilis vinifera, Inula racemosa, Santalum album, Tinospora cordifolia, Adhatoda vasica, Cyperus rotundus, Trichosanthes
tricuspidata, Asparagus racemosus, Ipomoea paniculata, Emblica offcinalis, sugar, seasame oil, Ghee, Powders of: Maranta arundinaceae, Piper longum, Elettaria cardamomum, Cinnamomum zeylanicum, Cinnamomum tamala, Mesuaferrea and honey ",Amaranthus LLC,10/21/2013,11/1/2013
811,N/A,Dried root radix Trichosanthes (SucanonTM),Pharmaroth Latin America S.A. DE C.V.,11/13/2013,12/23/2013
812,N/A,Xylooligosaccharides extracted from corn cobs of Zea mays,"Shangdong Longlive Bio-Technology, Co. Ltd",11/19/2013,1/22/2014
813,N/A,DHA Algal Oil from Schizochytrium (DHA-B),"DSM Nutritional Products, Inc.",11/25/2013,2/4/2014
814,N/A,Astaxanthin-rich Phaffia rhodozyma (Aquasta),"Igene Biotechnology, Inc.",12/4/2013,2/10/2014
815,N/A,Astaxanthin esters from Haematococcus pluvialis (Calastin),Genovia Bio LLC,12/4/2013,2/10/2014
816,N/A,Lactobacillus johnsonii 456 (New Life 1),"Microbio Pharma, Inc.",12/12/2013,12/18/2013
817,N/A,"Distillate of eucalyptus, sweet orange, lemon, and myrtle essential oils (d-ELOM)",G. Pohl Boskamp GmbH & Co. KG,12/19/2013,2/12/2014
818,N/A,Chondroitin Sulfate Sodium,Gnosis S.p.A.,1/24/2014,3/19/2014
819,N/A,Fatty acid esters derived from anchovy or menhaden oil (Provinal),"Tersus Pharmaceuticals, LLC",1/24/2014,3/19/2014
820,N/A,Palmitoylethanolamide,CHD Technologies Inc.,1/24/2014,2/12/2014
821,N/A,Ganoderma microsporum immunomodulatory protein (Reshimmune),"Mycomagic Biotechnology Co., Ltd.",2/4/2014,4/4/2014
822,N/A,Liquid chlorophyll,Biobersa S.A. de C.V.,2/4/2014,2/12/2014
823,N/A,L-ergothioneine (Ergoneine),Tetrahedron,2/12/2014,4/28/2014
824,N/A,Hydrated calcium potassium sodium magnesium aluminosilicate (Purified Clinoptilolite),Glock Health GmbH,2/24/2014,5/8/2014
825,N/A,Pyrroloquinoline Quinone (Coenzyme PQQ),Nascent Health Sciences LLC,3/11/2014,5/23/2014
826,N/A,Omega-3 polyunsaturated fatty acids (primarily eicosapentaenoic acid [EPA]) derived from Nannochloropsis oculata (Almega PL),Qualitas Health Inc.,3/13/2014,5/22/2014
827,N/A,L-theanine (Yunker Health & Relax Herbal Nutritional Supplement for Relaxation),"Sato Pharmaceutical Co., Ltd",3/19/2014,5/8/2014
828,N/A,Calcium formate,"Nephro-Tech 1, LLC",4/7/2014,5/30/2014
829,N/A,Astaxanthin-rich carotenoid extract (ARE) derived from Paracoccus carotinifaciens,JX Nippon Oil and Energy Corporation,4/9/2014,6/13/2014
830,N/A,Liquid chlorophyll,CS International,4/24/2014,5/5/2014
831,N/A,Artemisia annua,Promisia Integrative Ltd,5/13/2014,5/22/2014
